
#BUL

#RAJ
 RAJ_herbert_fitzherbert:0 "Herbert Fitzherbert"
 RHI_astolfo:0 "Astolfo"
 RHI_lady_saria:0 "Lady Saria"

#ROM
 ROM_ion_mota:0 "Ion Mota"
 ROM_vasile_marin:0 "Vasile Marin"
 ROM_constantin_constantinescuclaps:0 "Constantin Constantinescu-Claps"
 ROM_nicolae_macici:0 "Nicolae Macici"
 ROM_constantin_pantazi:0 "Constantin Pantazi"
 ROM_nicolae_ciuperca:0 "Nicolae Ciuperca"
 ROM_ion_glogojanu:0 "Ion Glogojanu"
 ROM_leonard_mociulschi:0 "Leonard Mociulschi"
 ROM_dumitru_popescu:0 "Dumitru Popescu"
 ROM_corneliu_dragalina:0 "Corneliu Dragalina"
 ROM_florea_tenescu:0 "Florea Tenescu"
 ROM_gordes_musik_yggdmillennia:0 "Gordes Musik Yggdmillennia"
 rom_barbu_paraianu:0 "Barbu Paraianu"

#RUS
 RUS_anastasia_i:0 "Anastasia I"
 RUS_kadoc_zemiupus:0 "Kadoc Zemiupus"
 RUS_pistolet_pulemyot_bizon:0 "Pistolet Pulemyot Bizon"
 RUS_anatoly_pepelyaev:0 "Anatoly Pepelyaev"
 RUS_grigory_semyonov:0 "Grigory Semyonov"
 RUS_imran_zakhaev:0 "Imran Zakhaev"
 RUS_boris_annenkov:0 "Boris Annenkov"
 RUS_pavel_batov:0 "Pavel Batov"
 RUS_michael_alexandrovich:0 "Michael Alexandrovich"
 RUS_pistolet_bizon:0 "Pistolet Bizon"
 RUS_helianthus:0 "Helianthus"
 RUS_alexandra_nikonova:0 "Alexandra Nikonova"
 RUS_avtomat_kalashnikova:0 "Avtomat Kalashnikova"
 RUS_antona_kalashnikova:0 "Antona Kalashnikova"
 RUS_ruchnoy_kalashnikova:0 "Ruchnoy Kalashnikova"
 RUS_sergey_baranovsky:0 "Sergey Baranovsky"
 RUS_dmitry_semenov:0 "Dmitry Semenov"
 RUS_vladimir_tolstov:0 "Vladimir Tolstov"
 RUS_vasiliy_boldyrev:0 "Vasiliy Boldyrev"
 RUS_vladimir_kappel:0 "Vladimir Kappel"
 RUS_mikhaïl_drozdovsky:0 "Mikhaïl Drozdovsky"
 RUS_mikhaïl_diterikhs:0 "Mikhaïl Diterikhs"
 RUS_anton_turkul:0 "Anton Turkul"
 RUS_mitrofan_nezhentsev:0 "Mitrofan Nezhentsev"
 RUS_ivan_romanovsky:0 "Ivan Romanovsky"
 RUS_vladimir_manshteyn:0 "Vladimir Manshteyn"
 RUS_vasili_chernetsov:0 "Vasili Chernetsov"
 RUS_mikhail_matkovsky:0 "Mikhail Matkovsky"
 RUS_Victoria_Romanovna:0 "Victoria Romanovna"
 RUS_Konstantin_Rodzaevsky:0 "Konstantin Rodzaevsky"
 RUS_Anastasy_Vonsiatsky:0 "Anastasy Vonsiatsky"
 RUS_Katya_Uranova:0 "Katya Uranova"
 RUS_Seele:0 "Seele"
 RUS_Provisional_Government:0 "Provisional Government"
 RUS_Provisional_Military_Government:0 "Provisional Military Government"

#SLO
 SLO_tuka_béla:0 "Tuka Béla"
 SLO_antonín_janoušek:0 "Antonín Janoušek"
 SLO_jaroslav_majer:0 "Jaroslav Majer"
 SLO_jaroslav_kratochvil:0 "Jaroslav Kratochvil"
 SLO_vojtech_daubner:0 "Vojtech Daubner"
 SLO_jozef_hora:0 "Jozef Hora"
 SLO_frano_kral:0 "Frano Kral"
 SLO_jozef_snejdarek:0 "Jozef Snejdarek"
 SLO_fritz_gejza:0 "Fritz Gejza"
 SLO_frantisek_sadek:0 "Frantisek Sadek"
 SLO_stefan_tiso:0 "Stefan Tiso"
 SLO_cyril_kuchta:0 "Cyril Kuchta"
 SLO_jindrich_honzl:0 "Jindrich Honzl"
 SLO_frantisek_straka:0 "Frantisek Straka"
 SLO_karol_sidor:0 "Karol Sidor"
 SLO_emil_lendvay:0 "Emil Lendvay"
 SLO_jozef_turanec:0 "Jozef Turanec"
 SLO_gustav_malar:0 "Gustav Malar"
 SLO_rudolf_viest:0 "Rudolf Viest"
 SLO_janko_jesensky:0 "Janko Jesensky"
 SLO_ferdinand_catlos:0 "Ferdinand Catlos"
 SLO_anton_pulanick:0 "Anton Pulanick"

#South America
 PRU_Óscar_benavides:0 "Óscar Benavides"
 PRU_sebastián_lynch:0 "Sebastián Lynch"
 PRU_hilarión_lynch:0 "Hilarión Lynch"
 PRU_santiago_ruíztagle:0 "Santiago Ruíz-Tagle"
 PRU_manuel_prado_ugarteche:0 "Manuel Prado Ugarteche"
 PRU_rafael_escardo:0 "Rafael Escardo"
 PRU_alberto_lopez_flores:0 "Alberto Lopez Flores"
 PRU_oscar_gilardi:0 "Oscar Gilardi"
 PRU_felipe_tudela:0 "Felipe Tudela"
 PRU_eduardo_cantabria_gomez:0 "Eduardo Cantabria Gomez"
 PRU_ernesto_scroth:0 "Ernesto Scroth"
 PRU_luis_ramirez_ortiz:0 "Luis Ramírez Ortiz"
 PRU_oscar_benavides_larrea:0 "Oscar Benavides Larrea"
 PRU_manuel_odria_amoretti:0 "Manuel Odria Amoretti"
 PRU_luis_navarrete:0 "Luis Navarreté"
 PRU_paul_de_beaudiez:0 "Paul de Beaudiez"
 PRU_alberto_roque_saldias:0 "Alberto Roque Saldías"
 PRU_vladimiro_lopez_trigoso:0 "Vladimiro Lopéz Trigoso"
 PRU_eloy_g_ureta:0 "Eloy G. Ureta"
 PRU_fernando_m_quesada_blanco:0 "Fernando M. Quesada Blanco"
 PRU_eduardo_montero_rojas:0 "Eduardo Montero Rojas"
 PRU_romulo_frias:0 "Romulo Frias"
 PRU_oscar_miro_quesada:0 "Oscar Miro Quesada"
 PRU_jose_bustamante_y_rivero:0 "José Bustamante y Rivero"
 PRU_armando_reveredo_iglesias:0 "Armando Reveredo Iglesias"
 PRU_reynaldo_vinatea:0 "Reynaldo Vinatea"
 PAN_harmodio_arias_madrid:0 "Harmodio Arias Madrid"
 PAN_bartolomé_sinibaldi:0 "Bartolomé Sinibaldi"
 PAN_tiburcio_andino:0 "Tiburcio Andino"
 PAN_aniceto_andino:0 "Aniceto Andino"
 PAN_juan_demostenes_arosemena:0 "Juan Demóstenes Arosemena"
 PAN_july_portocarrero:0 "July Portocarrero"
 PAN_enrique_jimenez_brin:0 "Enrique Jimenez Brín"
 PAN_nestor_urribe_suarez:0 "Nestor Urribe Suarez"
 PAN_carlos_zavala:0 "Carlos Zavala"
 PAN_marcos_a_gelabert:0 "Marcos A. Gelabert"
 PAN_juan_jose_parada:0 "Juan José Parada"
 PAN_arturo_osborne_irraga:0 "Arturo Osborne Irragá"
 PAN_enrico_fabrego_paz:0 "Enrico Fabrego Páz"
 PAN_ferdinando_hernandez_ytuarte:0 "Ferdinando Hernandez Ytuarte"
 PAN_margarita_belloso_jimenez:0 "Margarita Belloso Jímenez"
 PAN_omar_torrijos:0 "Omar Torrijos"
 PAN_bolivar_villarino:0 "Bolivar Villarino"
 PAN_juan_a_hernandez:0 "Juan A. Hernandez"
 PAN_juan_remon:0 "Juan Remón"
 PAN_manuel_rios_urribe:0 "Manuel Ríos Urribe"
 PAN_victor_pareja:0 "Victor Pareja"
 PAN_nicolas_ardito_barletta:0 "Nicolas Ardito Barletta"
 PAN_jose_pezet:0 "José Pezet"
 PAR_rafael_franco:0 "Rafael Franco"
 PAR_emilio_melgarejo:0 "Emilio Melgarejo"
 PAR_francisco_daza:0 "Francisco Daza"
 PAR_manuel_de_la_cruz:0 "Manuel de la Cruz"
 PAR_higinio_morinigo:0 "Higinio Morinigo"
 PAR_manuel_t_aponte:0 "Manuel T. Aponte"
 PAR_hector_velasquez:0 "Héctor Velasquez"
 PAR_jesus_g_arraza:0 "Jesus G. Arraza"
 PAR_juan_stefanich:0 "Juan Stefanich"
 PAR_juan_manuel_frutos:0 "Juan Manuel Frutos"
 PAR_isaias_baez_allende:0 "Isaias Baez Allende"
 PAR_vicente_almonacid:0 "Vicente Almonacid"
 PAR_alfred_stroessner_matiauda:0 "Alfred Stroessner Matiauda"
 PAR_amancio_pampliega:0 "Amancio Pampliega"
 PAR_hernan_rojas_baltassare:0 "Hernan Rojas Baltassare"
 PAR_higenio_morinigo_martinez:0 "Higenio Morinigo Martinez"
 PAR_juan_natalicio_gonzalez:0 "Juan Natalicio Gonzalez"
 PAR_remigio_bastia_martin:0 "Remigio Bastia Martín"
 PAR_francisco_esculies:0 "Francisco Esculies"
 PAR_riccardo_odriosola:0 "Riccardo Odriosola"
 ARG_agustín_pedro_justo:0 "Agustín Pedro Justo"
 ARG_nimo_de_anquín:0 "Nimo de Anquín"
 ARG_marcelo_t_de_alvear:0 "Marcelo T. de Alvear"
 ARG_fanny_edelman:0 "Fanny Edelman"
 ARG_roberto_maria_ortiz:0 "Roberto María Ortiz"
 ARG_arturo_rawson:0 "Arturo Rawson"
 ARG_juan_pistarini:0 "Juan Pistarini"
 ARG_alberto_teisaire:0 "Alberto Teisaire"
 ARG_uribaldi_diaz_brittenberg:0 "Uribaldi Díaz Brittenberg"
 ARG_agustín_pedro_justo:0 "Agustín Pedro Justo"
 ARG_edelmiro_farrell:0 "Edelmiro Farrell"
 ARG_francisco_m_velez:0 "Francisco M. Velez"
 ARG_jose_tamborni:0 "Jose Tamborni"
 ARG_manuel_a_rodriguez:0 "Manuel A. Rodriguez"
 ARG_hortensio_quijano:0 "Hortensio Quijano"
 ARG_pedro_s_casal:0 "Pedro S. Casal"
 ARG_antonio_parodi:0 "Antonio Parodi"
 ARG_pedro_pablo_ramirez:0 "Pedro Pablo Ramirez"
 ARG_heriberto_la_galine:0 "Heriberto La Galíne"
 ARG_thomas_martinez:0 "Thomas Martínez"
 ARG_eleazar_videla:0 "Eleazar Videla"
 ARG_manuel_maria_de_iriondo:0 "Manuel Maria de Iriondo"
 ARG_ramon_castillo:0 "Ramon Castillo"
 ARG_luis_podesta_costa:0 "Luis Podesta Costa"
 DOM_rafael_trujillo:0 "Rafael Trujillo"
 DOM_jacinto_gonzáles:0 "Jacinto Gonzáles"
 DOM_fernando_bayo:0 "Fernando Bayo"
 DOM_horacio_cabral:0 "Horacio Cabral"
 DOM_jacinto_peynado:0 "Jacinto Peynado"
 DOM_domingo_de_los_santos_ortiz:0 "Domingo de los Santos Ortiz"
 DOM_jose_miguel_moncada:0 "José Miguel Moncada"
 DOM_humberto_rojas:0 "Humberto Rojas"
 DOM_julio_ortega_frier:0 "Julio Ortega Frier"
 DOM_frank_feliz_miranda:0 "Frank Feliz Miranda"
 DOM_diego_trabajo_ruiz:0 "Diego Trabajo Rúiz"
 DOM_honoracio_yuna_robles:0 "Honoracio Yuna Robles"
 DOM_gerardo_espaillat:0 "Gerardo Espaillat"
 DOM_jesus_da_costa_ruiz:0 "Jesus da Costa-Ruiz"
 DOM_edgar_martinez:0 "Edgar Martinez"
 DOM_anibal_vallejo_sosa:0 "Anibal Vallejo Sosa"
 DOM_manuel_pena_battle:0 "Manuel Peña Battle"
 DOM_victor_vinas_roman:0 "Victor Viñas Roman"
 DOM_elias_brache:0 "Elias Brache"
 DOM_manuel_de_jesus_troncoso:0 "Manuel de Jesús Troncoso"
 DOM_jacinto_bienvenido_peynado:0 "Jacinto Bienvenido Peynado"
 VEN_eleazar_lópez_contreras:0 "Eleazar López Contreras"
 VEN_juan_bautista_fuenmayor:0 "Juan Bautista Fuenmayor"
 VEN_luis_figueroa:0 "Luis Figueroa"
 VEN_patricio_franco:0 "Patricio Franco"
 VEN_isaias_medina_angarita:0 "Isaias Medina Angarita"
 VEN_humberto_santabria_villa:0 "Humberto Santabria Villa"
 VEN_carlos_molina_talavayo:0 "Carlos Molina Talavayo"
 VEN_roberto_de_luca_varesano:0 "Roberto de Luca Varesano"
 VEN_carlos_garcia_mendoza:0 "Carlos Garcia Mendoza"
 VEN_miguel_diaz_fraile:0 "Miguel Díaz Fraile"
 VEN_victor_sanchez_croes:0 "Victor Sanchez Croes"
 VEN_antonio_casas_gonzalez:0 "Antonio Casas Gonzalez"
 VEN_carlos_ramos_diaz:0 "Carlos Ramos Díaz"
 VEN_david_lopez_henriques:0 "David Lopez Henriques"
 VEN_jose_polares_pavon:0 "José Polares Pavon"
 VEN_tomas_contreras_villalobos:0 "Tomas Contreras Villalobos"
 VEN_carlos_delgado_chalbaud:0 "Carlos Delgado Chalbaud"
 VEN_manuel_diaz_rodriguez:0 "Manuel Diaz Rodriguez"
 VEN_romulo_gallegos_freire:0 "Romulo Gallegos Freire"
 VEN_isidoro_ruiz_tuerro:0 "Isidoro Ruiz Tuerro"
 HON_tiburcio_carías_andino:0 "Tiburcio Carías Andino"
 HON_lorenzo_ferrera:0 "Lorenzo Ferrera"
 HON_pedro_figueroa:0 "Pedro Figueroa"
 HON_lisandro_machado:0 "Lisandro Machado"
 HON_oswaldo_lopez_arellano:0 "Oswaldo López Arellano"
 HON_carlos_vaupel_comeza:0 "Carlos Vaupel Comeza"
 HON_neto_britto:0 "Neto Britto"
 HON_jose_zuniga_huete:0 "José Zuñiga Huete"
 HON_teodore_alberto:0 "Teodore Alberto"
 HON_rufio_villegas:0 "Rufio Villegas"
 HON_carlos_molina_dejonje:0 "Carlos Molina Dejonje"
 HON_didier_masson:0 "Didier Masson"
 HON_miguel_angel_sevilla:0 "Miguel Ángel Sevilla"
 HON_raimundo_stochler_garcia:0 "Raimundo Stochler Garcia"
 HON_juan_b_valladares:0 "Juan B. Valladares"
 HON_francisco_s_tapio_toro:0 "Francisco S. Tapio Toro"
 HON_enrique_doll_rojas:0 "Enrique Doll Rojas"
 HON_gustavo_schmidt:0 "Gustavo Schmidt"
 HON_carlos_alberto_ucles:0 "Carlos Alberto Ucles"
 HON_roberto_michelleti_bain:0 "Roberto Michelleti Bain"
 HON_orlando_rodriguez_jimino:0 "Orlando Rodriguez Jimino"
 HON_abraham_williams_calderon:0 "Abraham Williams Calderon"
 HON_hernan_fernandez_silva:0 "Hernan Fernandez Silva"
 HAI_sténio_vincent:0 "Sténio Vincent"
 HAI_jacques_roumain:0 "Jacques Roumain"
 HAI_vilbrum_soulouque:0 "Vilbrum Soulouque"
 HAI_jacques_soulouque:0 "Jacques Soulouque"
 HAI_emilie_lescot:0 "Emilie Lescot"
 HAI_pascale_b_g_guillaume:0 "Pascalé B.G. Guillaume"
 HAI_charles_h_forbin:0 "Charles H. Forbin"
 HAI_andre_sainte_frederic:0 "André Sainté Frederic"
 HAI_paul_magloire:0 "Paul Magloire"
 HAI_georges_leger:0 "Georges Léger"
 HAI_belmeau_max_pierre:0 "Belmeau Max-Pierre"
 HAI_franck_lavaud:0 "Franck Lavaud"
 HAI_andre_dumont:0 "Andre Dumont"
 HAI_antoine_levelt:0 "Antoine Levelt"
 HAI_ernst_severe:0 "Ernst Severe"
 HAI_g_edouard_roy:0 "G.Edouard Roy"
 HAI_raymond_gassner:0 "Raymond Gassner"
 HAI_luis_dabtes_bellegarde:0 "Luis Dabtes Bellegarde"
 HAI_demosthenes_calixte:0 "Demosthenes Calixte"
 HAI_louis_dejoie:0 "Louis Dejoie"
 NIC_juan_bautista_sacasa:0 "Juan Bautista Sacasa"
 NIC_anastasio_somoza_garcía:0 "Anastasio Somoza García"
 NIC_francisco_leiva:0 "Francisco Leiva"
 NIC_josé_francisco_leiva:0 "José Francisco Leiva"
 NIC_joel_garcia_zaldana:0 "Joel Garcia Zaldana"
 NIC_toribio_fermin:0 "Toribio Fermín"
 NIC_augusto_caraval_antonio:0 "Augusto Caraval Antonio"
 NIC_guillermo_r_cuadra:0 "Guillermo R. Cuadra"
 NIC_bernardo_doroteo:0 "Bernardo Doroteo"
 NIC_manuel_roque_garcia:0 "Manuel Roque Garcia"
 NIC_sebastian_morazan:0 "Sebastián Morazán"
 NIC_gustavo_flores_mendienta:0 "Gustavo Flores Mendienta"
 NIC_juan_pablo_esquerra:0 "Juan Pablo Esquerra"
 NIC_noel_esto_nino_miranda:0 "Noel Esto Niño Miranda"
 NIC_maximiliano_benito:0 "Maximiliano Benito"
 NIC_victor_roman_y_reyes:0 "Victor Roman y Reyes"
 NIC_manuel_corovel_kirsch:0 "Manuel Corovél Kirsch"
 NIC_benjamin_lacayo_sacasa:0 "Benjamin Lacayo Sacasa"
 NIC_leonardo_arguello_vargas:0 "Leonardo Argüello Vargas"
 NIC_carlos_brenes_jarquin:0 "Carlos Brenes Jarquin"
 ELS_maximiliano_hernández_martínez:0 "Maximiliano Hernández Martínez"
 ELS_victoriano_ubico:0 "Victoriano Ubico"
 ELS_benito_ubico:0 "Benito Ubico"
 ELS_bartolomé_vasconcelos:0 "Bartolomé Vasconcelos"
 ELS_hector_escobar_serrano:0 "Hector Escobar Serraño"
 ELS_milton_andrade_cabrera:0 "Milton Andrade Cabrera"
 ELS_humbert_aberle:0 "Humbert Aberle"
 ELS_horacio_carnejo_ibanez:0 "Horacio Carnejo Ibanéz"
 ELS_osmin_aguirre_y_salinas:0 "Osmín Aguirre y Salinas"
 ELS_reinaldo_galindo_pohl:0 "Reinaldo Galindo Pohl"
 ELS_mauro_espinola_castro:0 "Mauro Espínola Castro"
 ELS_jose_angel_castillo:0 "José Angél Castillo"
 ELS_manuel_de_jesus_cordova:0 "Manuel de Jesús Cordova"
 ELS_augustin_farabundo_marti:0 "Augustín Farabundo Martí"
 ELS_manuel_jose_maria_lemus_lopez:0 "Manuel Jose Maria Lemus Lopez"
 ELS_raul_rodolfi_sanchez:0 "Raul Rodolfí Sanchez"
 ELS_ricardo_abrego_abrego:0 "Ricardo Abrego Abrego"
 ELS_humberto_costa:0 "Humberto Costa"
 ELS_oscar_a_bolanos:0 "Oscar A. Bolaños"
 ELS_salvador_castaneda_castro:0 "Salvador Castañeda Castro"
 ELS_jose_maria_cuellar:0 "Jose Maria Cuellar"

#SOV
 SOV_Skyph_Izhevska:0 "Skyph Izhevska"
 SOV_voyskovoy_s._kompleka:0 "Voyskovoy S. Kompleka"
 TMS_enver_passha:0 "Enver Passha"
 SOV_andrei_zhdanov:0 "Andrei Zhdanov"
 SOV_yakov_dzhugashvili:0 "Yakov Dzhugashvili"

#SWE
 SWE_ortlinde:0 "Ortlinde"
 SWE_hildr:0 "Hildr"
 SWE_sigurd:0 "Sigurd"
 SWE_beowulf:0 "Beowulf"
 SWE_ophelia_phamrsolone:0 "Ophelia Phamrsolone"
 SWE_riesbyfe_stridberg:0 "Riesbyfe Stridberg"
 SWE_scáthachskaði:0 "Scáthach-Skaði"
 SWE_Þrúðr:0 "Þrúðr"
 SWE_tryka:0 "Tryka"
 SWE_brynhildr:0 "Brynhildr"
 SWE_rovio:0 "rovio"
 SWE_paradox:0 "paradox"
 NOR_elias_corneliussen:0 "Elias Corneliussen"
 NOR_gelda:0 "Gelda"
 NOR_eiríkr_haraldsson:0 "Eiríkr Haraldsson"

#UKR
 :0 
 :0 

#USA
 USA_thomas_edison:0 "Thomas Alva Edison"
 usa_saria:0 "Saria"
 usa_texas:0 "Texas"
 usa_funny_valentine:0 "Funny Valentine"
 usa_clownpiece:0 "Clownpiece"
 usa_abigail_williams:0 "Abigail Williams"
 usa_astesia:0 "Astesia"
 usa_carol_kiring:0 "Caroal Kiring"
 usa_muelsyse:0 "Muelsyse"
 usa_enterprise:0 "Enterprise"
